,attraction_names,address,category,rating,num_reviews,suggested_duration(hr),main_category,sub_cat1,sub_cat2
379,Luxe Beauty Lounge & Mobile Spa,"123-1208 Homer St, Vancouver, British Columbia V6B 2Y5 Canada",['Spas'],5.0,10,2,Spas,,
380,In My Kitchen,,"['Lessons & Workshops ', ' Cooking Classes']",5.0,9,2,Lessons & Workshops , Cooking Classes,
381,Granville Island Soap Gallery,"104-1535 Johnston St, Vancouver, British Columbia V6H 3R9 Canada",['Speciality & Gift Shops'],5.0,11,,Speciality & Gift Shops,,
382,Quick Shuttle Service,,['Bus Services'],3.5,82,,Bus Services,,
383,The Spa by Ivanka Trump™,"1161 Georgia St W, Vancouver, British Columbia V6E 0C6 Canada","['Health Clubs ', ' Spas']",4.5,15,2,Health Clubs , Spas,
384,Seawall Adventure Centre,"1095 West Waterfront Road, Vancouver, British Columbia V6C 0A1 Canada",['Equipment Hire'],4.5,11,3,Equipment Hire,,
385,Cineplex Fifth Avenue Cinemas,"2110 Burrard St, Vancouver, British Columbia V6J 3H6 Canada",['Cinemas'],4.0,33,,Cinemas,,
386,Yuk Yuk's Comedy Club,"2837 Cambie St, Vancouver, British Columbia V5Z 3Y8 Canada",['Comedy Clubs'],4.0,31,,Comedy Clubs,,
387,Lululemon,,['Speciality & Gift Shops'],4.0,34,,Speciality & Gift Shops,,
388,Vancouver Corporate Yoga,"246-1055 Georgia St W 134 - Royal Centre Mall, Vancouver, British Columbia V6E 0B6 Canada",['Yoga & Pilates'],5.0,8,,Yoga & Pilates,,
389,Reckless Bike Stores,"110 Davie St, Vancouver, British Columbia V6Z 2V4 Canada",['Equipment Hire'],4.0,51,,Equipment Hire,,
390,Kingston Taphouse,"755 Richards St, Vancouver, British Columbia V6B 3A6 Canada",['Bars & Clubs'],4.0,29,,Bars & Clubs,,
391,Pure Float,"1197 Howe St, Vancouver, British Columbia V6Z 0A8 Canada",['Spas'],5.0,12,2,Spas,,
392,Cineplex Odeon International Village Cinemas,"88 West Pender Street 3rd Floor, Vancouver, British Columbia V6B 6N9 Canada",['Cinemas'],4.0,29,,Cinemas,,
393,West Coast Express,,['Rail Services'],4.5,18,,Rail Services,,
394,Altum Spa & Wellness,"1110 Howe St Suite #515-A, Vancouver, British Columbia V6Z 1R2 Canada",['Spas'],5.0,9,3,Spas,,
395,The Fountainhead Pub,"1025 Davie St, Vancouver, British Columbia V6E 1M5 Canada",['Gay Bars'],4.5,17,,Gay Bars,,
396,Arts Off Main Gallery,"1704 Charles St, Vancouver, British Columbia V5L 2T5 Canada","['Speciality & Gift Shops ', ' Art Galleries']",5.0,8,,Speciality & Gift Shops , Art Galleries,
397,Pacific Coliseum,"Renfrew St, Vancouver, British Columbia V5K 5J1 Canada",['Other Outdoor Activities'],4.0,15,,Other Outdoor Activities,,
398,Quest Limos,"1155 Pender St W 708 A, Vancouver, British Columbia V6E 2P4 Canada",['Taxis & Shuttles'],4.0,16,2,Taxis & Shuttles,,
399,Guilt and Company,"1 Alexander St Gastown, Vancouver, British Columbia V6A 1B2 Canada",['Theatre & Performances'],4.0,29,,Theatre & Performances,,
400,Cavalier | The Fine Jewellery Shoppe,"217 Hastings St W, Vancouver, British Columbia V6B 1H6 Canada",['Speciality & Gift Shops'],5.0,9,,Speciality & Gift Shops,,
401,Make,"1648 Duranleau St, Vancouver, British Columbia V6H 3S4 Canada",['Speciality & Gift Shops'],5.0,7,,Speciality & Gift Shops,,
402,Blarney Stone,"216 Carrall St, Vancouver, British Columbia V6B 2J1 Canada",['Bars & Clubs'],4.5,15,,Bars & Clubs,,
403,Saje,"1091 Robson St, Vancouver, British Columbia V6E 1A9 Canada",['Spas'],4.5,12,,Spas,,
404,The Roxy,"932 Granville St, Vancouver, British Columbia V6Z 1L2 Canada","['Bars & Clubs ', ' Dance Clubs & Discos']",3.5,52,,Bars & Clubs , Dance Clubs & Discos,
405,ZOOM Bus Lines,"3540 Welwyn St, Vancouver, British Columbia V5N 3Y7 Canada",,4.5,9,,,,
406,Kerrisdale Village,,['Speciality & Gift Shops'],4.0,18,,Speciality & Gift Shops,,
407,Lush,,['Speciality & Gift Shops'],4.5,10,,Speciality & Gift Shops,,
408,EagleRider Motorcycle Rentals and Tours Vancouver,"8910 Shaughnessy St, Vancouver, British Columbia V6P 3Y5 Canada",['Equipment Hire'],4.5,8,,Equipment Hire,,
409,Kids Only Market,,['Speciality & Gift Shops'],3.5,25,,Speciality & Gift Shops,,
410,Gem Chocolates,"2029 41st Ave W, Vancouver, British Columbia V6M 1Y7 Canada",['Speciality & Gift Shops'],5.0,7,,Speciality & Gift Shops,,
411,Wall Center Garden Hotel,"1088 Burrard St, Vancouver, British Columbia V6Z 2R9 Canada",['Health Clubs'],4.5,15,,Health Clubs,,
412,Hudson House Trading Company,"321 Water St, Vancouver, British Columbia V6B 1B8 Canada",['Speciality & Gift Shops'],4.0,14,,Speciality & Gift Shops,,
413,Xoxolat,"1271 Homer St, Vancouver, British Columbia V6B 2Y9 Canada",['Speciality & Gift Shops'],5.0,8,,Speciality & Gift Shops,,
414,Kids Market,"1496 Cartwright St Granville Island, Vancouver, British Columbia V6H 3Y5 Canada","['Game & Entertainment Centres ', ' Shopping Malls']",3.5,22,3,Game & Entertainment Centres , Shopping Malls,
415,Bike Doctor Bike Rental,"137 Broadway W, Vancouver, British Columbia V5Y 1P4 Canada",['Equipment Hire'],5.0,8,,Equipment Hire,,
416,The Comedy Mix,"1015 Burrard St Century Plaza Hotel, Vancouver, British Columbia V6Z 1Y5 Canada",['Comedy Clubs'],3.5,50,,Comedy Clubs,,
417,The Dim Sum Adventure,,['Cooking Classes'],5.0,5,,Cooking Classes,,
418,The Dockside Brewing Company,"1253 Johnston St in the Granville Island Hotel, Vancouver, British Columbia V6H 3R9 Canada",['Bars & Clubs'],4.0,18,,Bars & Clubs,,
419,SNOWBUS,,['Bus Services'],4.0,36,3,Bus Services,,
420,Circle Craft,"1666 Johnston Street #1, Vancouver, British Columbia V6H 3S2 Canada",['Speciality & Gift Shops'],5.0,7,,Speciality & Gift Shops,,
421,Club16 Trevor Linden Bike Rentals,,['Equipment Hire'],4.0,19,,Equipment Hire,,
422,Commodore Bowling & Billiards,"838 Granville St, Vancouver, British Columbia V6Z 1K3 Canada",['Bowling Alleys'],4.0,20,,Bowling Alleys,,
423,EzeeRiders Bike Rentals Robson,"1823 Robson St, Vancouver, British Columbia V6G 1E4 Canada",['Equipment Hire'],3.5,36,2,Equipment Hire,,
424,Vida Wellness Spa,"845 Burrard St, Vancouver, British Columbia V6Z 2K6 Canada",['Spas'],3.5,46,,Spas,,
425,The Comedy Department,"1755 Davie St, Vancouver, British Columbia V6G 1W5 Canada",['Comedy Clubs'],5.0,3,2,Comedy Clubs,,
426,Kaarigar Handicrafts Inc.,"1012 Mainland St, Vancouver, British Columbia V6B 2T4 Canada",['Speciality & Gift Shops'],5.0,8,,Speciality & Gift Shops,,
427,Soho Bar & Billiards,"1283 Hamilton St, Vancouver, British Columbia V6B 6K3 Canada",['Bars & Clubs'],5.0,4,,Bars & Clubs,,
428,The Nut Merchant,"1689 Johnston St Granville Island Public Market, Vancouver, British Columbia V6H 3R9 Canada","['Speciality & Gift Shops ', ' Farmers Markets']",5.0,4,,Speciality & Gift Shops , Farmers Markets,
429,Back and Forth Bar,"303 Columbia St, Vancouver, British Columbia V6A 2R7 Canada",['Bars & Clubs'],5.0,4,,Bars & Clubs,,
430,Academie Duello,"412 Hastings St W, Vancouver, British Columbia V6B 1L1 Canada",['Sports Camps & Clinics'],5.0,3,2,Sports Camps & Clinics,,
431,The Rock Shop,"1076 Granville St, Vancouver, British Columbia V6Z 1L5 Canada",['Speciality & Gift Shops'],4.5,7,,Speciality & Gift Shops,,
432,The Wicklow Pub,"610 Stamp's Landng, Vancouver, British Columbia V5Z 3Z1 Canada",['Bars & Clubs'],4.0,10,,Bars & Clubs,,
433,Classique Car Rental,"1133 Hastings St W, Vancouver, British Columbia V6E 3T3 Canada",['Taxis & Shuttles'],5.0,4,,Taxis & Shuttles,,
434,Breathing Space Bodywork,"119 W Pender St Suite 122, Vancouver, British Columbia V6B 1S5 Canada",['Spas'],5.0,5,2,Spas,,
435,The Winking Judge Pub,"888 Burrard St, Vancouver, British Columbia V6Z 1X9 Canada",['Bars & Clubs'],4.0,13,,Bars & Clubs,,
436,Clough Club,"212 Abbott St, Vancouver, British Columbia V6B 2K8 Canada",['Bars & Clubs'],4.0,13,,Bars & Clubs,,
437,Kitsilano Showboat,,"['Concerts ', ' Theatre & Performances']",4.5,8,3,Concerts , Theatre & Performances,
438,Float House Gastown,"70 Cordova St W, Vancouver, British Columbia V6B 1C9 Canada",['Spas'],4.5,8,2,Spas,,
439,JNT Comedy,"Vancouver, BC 307 Hastings St W, Vancouver, British Columbia V6B 1H6 Canada",['Comedy Clubs'],5.0,4,2,Comedy Clubs,,
440,Teatro Intimo Del Flamenco,"1502 Duranleau St Granville Island, Vancouver, British Columbia V6H 3S4 Canada",['Theatre & Performances'],5.0,4,,Theatre & Performances,,
441,City Cigar Emporium,"888 6th Ave W, Vancouver, British Columbia V5Z 1A6 Canada",['Speciality & Gift Shops'],4.5,9,2,Speciality & Gift Shops,,
442,The Irish Heather,"248 Georgia St E, Vancouver, British Columbia V6A 1Z7 Canada",['Bars & Clubs'],3.5,23,,Bars & Clubs,,
443,City Limousine Service,"7950 Prince Edward St, Vancouver, British Columbia V5X 3R6 Canada",['Taxis & Shuttles'],4.5,5,,Taxis & Shuttles,,
444,Dunbar Theatre,"4555 Dunbar St, Vancouver, British Columbia V6S 2G7 Canada",['Cinemas'],5.0,5,,Cinemas,,
445,Queen Elizabeth Park Pitch and Putt,"West 33rd Ave. (At Cambie St.), Vancouver, British Columbia V5Z 2W5 Canada",['Golf Courses'],4.0,16,,Golf Courses,,
446,JV bike rentals,"955 Expo Blvd, Vancouver, British Columbia V6Z 3G8 Canada",['Equipment Hire'],4.5,6,,Equipment Hire,,
447,Rickshaw Theater,"254 Hastings St E, Vancouver, British Columbia V6A 1P1 Canada","['Concerts ', ' Theatres ', ' Comedy Clubs']",4.0,9,3,Concerts , Theatres , Comedy Clubs
448,Imperial Global Chauffeur Service,,['Taxis & Shuttles'],4.0,14,,Taxis & Shuttles,,
449,Book Warehouse,"632 Broadway W, Vancouver, British Columbia V5Z 1G1 Canada",['Speciality & Gift Shops'],5.0,4,2,Speciality & Gift Shops,,
450,John Fluevog,"65 Water St, Vancouver, British Columbia V6B 1A1 Canada",['Speciality & Gift Shops'],5.0,3,,Speciality & Gift Shops,,
451,Banyen Books & Sound,"3608 4th Ave W, Vancouver, British Columbia V6R 1P1 Canada",['Speciality & Gift Shops'],5.0,5,2,Speciality & Gift Shops,,
452,Voka Deka Esthetics Salon,"2241 Granville St, Vancouver, British Columbia V6H 3G1 Canada",['Spas'],5.0,3,,Spas,,
453,Indigo,"1033 Robson St, Vancouver, British Columbia V6E 1A9 Canada",['Speciality & Gift Shops'],5.0,7,,Speciality & Gift Shops,,
454,Tranquility Organic Spa,"150-1020 Mainland St, Vancouver, British Columbia V6B 2T5 Canada",['Spas'],5.0,5,2,Spas,,
455,The Cinematheque,"1131 Howe St, Vancouver, British Columbia V6Z 2L7 Canada",['Cinemas'],5.0,5,,Cinemas,,
456,Paper-Ya,"9-1666 Johnston St, Vancouver, British Columbia V6H 3S2 Canada",['Speciality & Gift Shops'],4.0,6,,Speciality & Gift Shops,,
457,Cineplex Cinemas Marine Gateway and VIP,"452 South West Marine Drive, Vancouver, British Columbia V5X 0C4 Canada",['Cinemas'],4.0,10,,Cinemas,,
458,Granville Island Toy Company,"3298 Main St, Vancouver, British Columbia V5V 3M5 Canada",[''],4.5,6,,,,
459,Forerunners,,['Speciality & Gift Shops'],5.0,4,,Speciality & Gift Shops,,
460,Revolucion Lifestyle Cigars & Fine Gifts,"1063 Mainland St, Vancouver, British Columbia V6B 5P9 Canada",['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
461,217.5 Arc X 13,,['Art Galleries'],4.5,3,,Art Galleries,,
462,Chinese Memorial Monument,"Keefer And Columbia Streets, Vancouver, British Columbia V6B 5K2 Canada",['Monuments & Statues'],4.5,4,,Monuments & Statues,,
463,Harbour Dance Centre,"927 Granville St, Vancouver, British Columbia V6Z 1L3 Canada",['Lessons & Workshops'],5.0,3,,Lessons & Workshops,,
464,Musqueam Golf Club,"3904 51st Ave W, Vancouver, British Columbia V6N 3W1 Canada",['Golf Courses'],4.0,6,,Golf Courses,,
465,Hastings Reflexology & Sauna,"766 Hastings St E, Vancouver, British Columbia V6A 1R5 Canada","['Spas ', ' Thermal Spas']",5.0,2,2,Spas , Thermal Spas,
466,Granville Island Treasures,"1510 Duranleau St Granville Island, Vancouver, British Columbia V6H 3S4 Canada",['Speciality & Gift Shops'],5.0,3,,Speciality & Gift Shops,,
467,Absolutely Fabulous Urban Spa,"C-3 1500 Hornby Street, Vancouver, British Columbia V6Z 2P9 Canada",['Spas'],5.0,4,2,Spas,,
468,Legacy,"1633 Manitoba St, Vancouver, British Columbia V5Y 0B8 Canada",['Speciality & Gift Shops'],5.0,4,,Speciality & Gift Shops,,
469,Kimprints,"41 Powell St, Vancouver, British Columbia V6A 1E9 Canada",['Speciality & Gift Shops'],4.5,3,,Speciality & Gift Shops,,
470,Everest Therapeutics,"970 Burrard St Mz 1 Electra Building, Vancouver, British Columbia V6Z 2R4 Canada",['Spas'],5.0,4,2,Spas,,
471,The Bottleneck,"870 Granville St, Vancouver, British Columbia V6Z 1K3 Canada",['Bars & Clubs'],4.0,5,,Bars & Clubs,,
472,Craft Maison,"1740 Commercial Dr, Vancouver, British Columbia V5N 4A3 Canada",['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
473,CottonMouth - Boutique Cannabis Store,"1120 Davie Street Davie Village, Vancouver, British Columbia V6E 1N1 Canada","['Speciality & Gift Shops ', ' Gay Bars']",5.0,3,,Speciality & Gift Shops , Gay Bars,
474,ToeToSoul Relax Lounge,"678 Broadway W, Vancouver, British Columbia V5Z 1G1 Canada",['Spas'],4.0,16,,Spas,,
475,Modo Yoga Vancouver,"242-2083 Alma St, Vancouver, British Columbia V6R 4N6 Canada",['Yoga & Pilates'],5.0,3,2,Yoga & Pilates,,
476,Alcan Omnimax Theatre,"1455 Quebec St, Vancouver, British Columbia V6A 3Z7 Canada",['Cinemas'],5.0,4,,Cinemas,,
477,Amity Design Studio,"1666 Johnston Street #8, Vancouver, British Columbia V6H 3S2 Canada",['Speciality & Gift Shops'],4.5,4,,Speciality & Gift Shops,,
478,Chintz & Company,"950 Homer St, Vancouver, British Columbia V6B 2W7 Canada",['Speciality & Gift Shops'],5.0,4,,Speciality & Gift Shops,,
479,Sparklebalm Healing Massage,"1040 West 8th Avenue, Vancouver, British Columbia V6H 1C4 Canada",['Spas'],5.0,4,2,Spas,,
480,Cranberries Spa,"330 Robson St, Vancouver, British Columbia V6B 2B2 Canada",['Spas'],5.0,3,,Spas,,
481,Harmonie Day Spa,"1625 Robson St, Vancouver, British Columbia V6G 1C8 Canada",['Spas'],4.0,6,2,Spas,,
482,Owl Bike,"1116 Denman St, Vancouver, British Columbia V6G 2M8 Canada",['Equipment Hire'],4.5,3,,Equipment Hire,,
483,Bc Liquor Store,,['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
484,The New Oxford,"1144 Homer St, Vancouver, British Columbia V6B 2X6 Canada",['Bars & Clubs'],4.0,7,,Bars & Clubs,,
485,Lennox Pub,"80 Granville Street, Vancouver, British Columbia V6Z 1K3 Canada",['Bars & Clubs'],4.0,3,,Bars & Clubs,,
486,Grand Maple Canada Gifts & Souvenirs,"1046 Robson St, Vancouver, British Columbia V6E 1A7 Canada",['Speciality & Gift Shops'],4.5,8,,Speciality & Gift Shops,,
487,Candy Dart Shuttle,"2050 Scotia St 340, Vancouver, British Columbia V5T 4T1 Canada",['Taxis & Shuttles'],5.0,4,,Taxis & Shuttles,,
488,Maiwa,"6-1666 Johnston St, Vancouver, British Columbia V6H 3S2 Canada",['Speciality & Gift Shops'],5.0,2,2,Speciality & Gift Shops,,
489,Vida Spa Westin,"1601 Bayshore Dr The Westin Bayshore, Vancouver, British Columbia V6G 2V4 Canada",['Spas'],5.0,2,,Spas,,
490,Bacio Rosso,"4600 Cambie Street Queen Elizabeth Park, Vancouver, British Columbia V5Z 2Z1 Canada",['Dinner Theatres'],4.5,4,,Dinner Theatres,,
491,Vancouver Aids Memorial,"1204 Beach Ave, Vancouver, British Columbia V6E 1V3 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,2,,Points of Interest & Landmarks , Monuments & Statues,
492,Caprice Nightclub,"967 Granville St, Vancouver, British Columbia V6Z 1L3 Canada","['Bars & Clubs ', ' Dance Clubs & Discos']",3.5,12,,Bars & Clubs , Dance Clubs & Discos,
493,Swan Spa,"860 Cordova St W, Vancouver, British Columbia V6C 3N8 Canada",['Spas'],3.5,23,,Spas,,
494,Siwash Rock,"Stanley Park Drive, Vancouver, British Columbia V6G 3E2 Canada","['Points of Interest & Landmarks ', ' Mysterious Sites ', ' Scenic Walking Areas']",4.5,2,,Points of Interest & Landmarks , Mysterious Sites , Scenic Walking Areas
495,Walking Figures,"Broadway-city Hall Station, Vancouver, British Columbia V5Z 2V2 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,2,,Points of Interest & Landmarks , Monuments & Statues,
496,Cineplex The Park Theatre,"3440 Cambie St, Vancouver, British Columbia V5Z 2W8 Canada",['Cinemas'],4.0,5,,Cinemas,,
497,Funky Winker Beans,"37 Hastings St W, Vancouver, British Columbia V6B 1G4 Canada",['Bars & Clubs'],4.0,6,,Bars & Clubs,,
498,The Jade Store,"4-375 Water Street, Vancouver, British Columbia V6B 5C6 Canada",['Speciality & Gift Shops'],4.5,3,,Speciality & Gift Shops,,
499,Soul Reflexions Wellness Studio,"1133 Beach Ave between Bute & Thurlow, Vancouver, British Columbia V6E 1V1 Canada",['Spas'],5.0,2,2,Spas,,
500,Robson Scooter & Car Rental,"1431 Robson St, Vancouver, British Columbia V6G 1C1 Canada",['Equipment Hire'],4.0,5,3,Equipment Hire,,
501,Khenko/giant Blue Heron,,['Art Galleries'],4.5,2,,Art Galleries,,
502,Air India Memorial,"8701 Stanley Park Dr, Vancouver, British Columbia V6G 3E2 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,2,,Points of Interest & Landmarks , Monuments & Statues,
503,La Differencia,"131 Water St Gastown, Suite #201, Vancouver, British Columbia V6B 4M3 Canada",['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
504,"Spa at The Westin Grand, Vancouver","433 Robson St, Vancouver, British Columbia V6B 6L9 Canada",['Spas'],4.0,10,,Spas,,
505,Japanese Canadian War Memorial,"Stanley Park, Vancouver, British Columbia V6G 3E2 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,2,,Points of Interest & Landmarks , Monuments & Statues,
506,Benz Tours,,['Taxis & Shuttles'],3.0,95,3,Taxis & Shuttles,,
507,Humpty Dumpty Books & Music,"1496 Cartwright Streeth, Vancouver, British Columbia V6H 3Y5 Canada",['Speciality & Gift Shops'],4.5,2,,Speciality & Gift Shops,,
508,Numbers Cabaret,"1042 Davie St, Vancouver, British Columbia V6E 1M3 Canada",['Bars & Clubs'],4.0,6,,Bars & Clubs,,
509,Spa Utopia,"1001-999 Canada Pl Pan Pacific Hotel, Vancouver, British Columbia V6C 3C1 Canada",['Spas'],3.5,69,,Spas,,
510,The Soap Artisan,"1782 Alberni St, Vancouver, British Columbia V6G 1B2 Canada",['Speciality & Gift Shops'],5.0,3,,Speciality & Gift Shops,,
511,The Yale Saloon,"1300 Granville St, Vancouver, British Columbia V6Z 1M7 Canada",['Blues Bars'],3.5,21,,Blues Bars,,
512,Suki's Salons,"1030 West Georgia Street Suite 233, Vancouver, British Columbia V6E 2Y3 Canada",,5.0,2,2,,,
513,Pousette Gallery,"404-1529 6th Ave W Rooftop, Vancouver, British Columbia V6J 1R1 Canada","['Speciality & Gift Shops ', ' Art Galleries ', ' Art Museums']",5.0,3,,Speciality & Gift Shops , Art Galleries , Art Museums
514,McCleery Golf Course,"7188 Macdonald St, Vancouver, British Columbia V6N 1G2 Canada",['Golf Courses'],3.5,18,,Golf Courses,,
515,Vancouver Olive Oil Company,"2571 Broadway W, Vancouver, British Columbia V6K 2E9 Canada",['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
516,The Keefer Bar,"135 Keefer St, Vancouver, British Columbia V6A 1X3 Canada",['Bars & Clubs'],4.0,12,,Bars & Clubs,,
517,Mountain Equipment Co-op,"111 2nd Ave E, Vancouver, British Columbia V5T 1B4 Canada",['Speciality & Gift Shops'],3.5,47,,Speciality & Gift Shops,,
518,Spa Revive,"878 Homer St, Vancouver, British Columbia V6B 2W5 Canada",['Spas'],4.0,5,2,Spas,,
519,Indigo,"2505 Granville St, Vancouver, British Columbia V6H 3G7 Canada",['Speciality & Gift Shops'],4.5,2,,Speciality & Gift Shops,,
520,Cigar Connoisseur,"346 Water St, Vancouver, British Columbia V6B 1B6 Canada",['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
521,Bikes For All,"112 7th Ave E, Vancouver, British Columbia V5T 1M6 Canada",['Equipment Hire'],4.5,4,,Equipment Hire,,
522,MINT Interiors,"1805 Fir St, Vancouver, British Columbia V6J 3A9 Canada",['Speciality & Gift Shops'],5.0,3,,Speciality & Gift Shops,,
523,Button Button,"318 Homer St, Vancouver, British Columbia V6B 2V2 Canada",['Speciality & Gift Shops'],4.5,2,,Speciality & Gift Shops,,
524,Supreme Limousine & Chauffeur Service,,['Taxis & Shuttles'],5.0,1,,Taxis & Shuttles,,
525,AB-BC Charter,,"['Bus Services ', ' Taxis & Shuttles']",5.0,1,,Bus Services , Taxis & Shuttles,
526,Par-tee Putt Vancouver,"670 Smithe St, Vancouver, British Columbia V6B 1E3 Canada",['Miniature Golf'],5.0,1,,Miniature Golf,,
527,Energy Wellness Spa,"3739 10th Ave W, Vancouver, British Columbia V6R 2G5 Canada",['Spas'],5.0,1,,Spas,,
528,Great Canadian Casino at the Holiday Inn,"709 Broadway W, Vancouver, British Columbia V5Z 1J5 Canada",['Casinos'],5.0,1,,Casinos,,
529,Golden Age Collectables,"852 Granville St, Vancouver, British Columbia V6Z 1K3 Canada",['Shopping Malls'],5.0,1,,Shopping Malls,,
530,Royal Feet,"2908 4th Ave W, Vancouver, British Columbia V6K 1R2 Canada",['Spas'],5.0,2,,Spas,,
531,Cirque Du Soleil Alegría,,['Cirque du Soleil Shows'],5.0,1,,Cirque du Soleil Shows,,
532,Robert Burns Statue,"502-688 Stanley Park Dr, Vancouver, British Columbia V6G 3E2 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",3.5,4,,Points of Interest & Landmarks , Monuments & Statues,
533,Voxel Bridge,"535 W 2nd Ave #517 Underside Of Cambie Bridge South, Vancouver, British Columbia V6Z 3A2 Canada",['Monuments & Statues'],5.0,1,,Monuments & Statues,,
534,Vancouver Novel,"3474 Point Grey Rd, Vancouver, British Columbia V6R 1A5 Canada",['Monuments & Statues'],5.0,1,,Monuments & Statues,,
535,Let's Heal The Divide,"133 Keefer St, Vancouver, British Columbia V6A 1X3 Canada",['Monuments & Statues'],5.0,1,,Monuments & Statues,,
536,ToeToSoul,"1216 Robson St, Vancouver, British Columbia V6E 1C1 Canada",['Spas'],5.0,1,,Spas,,
537,The Massage Studio Whole Body Wellness,"1687 West Broadway Suite #60, Vancouver, British Columbia V6J 1X2 Canada",['Spas'],5.0,2,2,Spas,,
538,Petsmart - Grandview,"2860 Bentall St, Vancouver, British Columbia V5M 4H4 Canada",['Department Stores'],5.0,1,,Department Stores,,
539,Vancouver Public Library - Renfrew Branch,"Renfrew Branch 2969 22nd Ave E, Vancouver, British Columbia V5M 2Y3 Canada",['Libraries'],5.0,1,,Libraries,,
540,Vancouver Public Library - Collingwood Branch,"2985 Kingsway, Vancouver, British Columbia V5R 5J4 Canada",['Libraries'],5.0,1,,Libraries,,
541,Kim’s Mart,"519 Broadway E, Vancouver, British Columbia V5T 1X4 Canada",['Speciality & Gift Shops'],4.5,3,,Speciality & Gift Shops,,
542,Amtrak Cascades,"1150 Station St, Vancouver, British Columbia V6A 4C7 Canada",['Rail Services'],3.0,21,,Rail Services,,
543,Katami Designs,"138 Broadway E Located in the heart of historic MountPleasant area by Main St., Vancouver, British Columbia V5T 1V9 Canada",['Speciality & Gift Shops'],5.0,2,,Speciality & Gift Shops,,
544,The Photo Session,"4600 Cambie St Near Bloedel Conservatory Lookout, Vancouver, British Columbia V5Y 2M4 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.0,2,,Points of Interest & Landmarks , Monuments & Statues,
545,Stone Chi Massage,"25-1410 13th Ave W, Vancouver, British Columbia V6H 1N9 Canada",['Spas'],5.0,2,2,Spas,,
546,West Coast Forest Massage,"1090 Howe St, Vancouver, British Columbia V6Z 1P5 Canada",['Spas'],4.5,2,2,Spas,,
547,Humblebee Meadery,,['Breweries'],5.0,1,,Breweries,,
548,Vancouver Fine Art Gallery,"2233 Granville Street, Vancouver, British Columbia V6H 3G1 Canada",['Art Galleries'],5.0,1,,Art Galleries,,
549,"Book Mark, The Library Store","350 Georgia St W, Vancouver, British Columbia V6B 6B1 Canada",['Speciality & Gift Shops'],5.0,1,,Speciality & Gift Shops,,
550,Portal Park,"1099 W. Hastings Street, Vancouver, British Columbia V6E 4E2 Canada",['Parks'],5.0,1,,Parks,,
551,Enhance Arts Aesthetics & Spa,"1791 Manitoba St, Vancouver, British Columbia V5Y 0H8 Canada",['Spas'],5.0,1,2,Spas,,
552,Organic Thai Spa,"2471 Bayswater St, Vancouver, British Columbia V6K 4N3 Canada",['Spas'],4.0,2,,Spas,,
553,Red Cat Records,"2447 Hastings St E, Vancouver, British Columbia V5K 1Y8 Canada",['Speciality & Gift Shops'],5.0,1,,Speciality & Gift Shops,,
554,The Crab,"1100 Chestnut St Directly In Front Of Museum Of Vancouver, Vancouver, British Columbia V6J 3J9 Canada",['Monuments & Statues'],5.0,1,,Monuments & Statues,,
555,Knife Edge Two Piece,"4600 Cambie Street Queen Elizabeth Park, Vancouver, British Columbia V5Z 2Z1 Canada",['Monuments & Statues'],5.0,1,,Monuments & Statues,,
556,Oscars Pub Vancouver,"3684 Hastings St E, Vancouver, British Columbia V5K 2A9 Canada",['Bars & Clubs'],4.5,2,,Bars & Clubs,,
557,E Pauline Johnson Memorial,"7501 Stanley Park Dr Across The Road From Stanley Park Teahouse, Vancouver, British Columbia V6G 3E2 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",3.5,3,,Points of Interest & Landmarks , Monuments & Statues,
558,Shore To Shore,"Stanley Park Drive, Vancouver, British Columbia V6G 3E2 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",3.5,3,,Points of Interest & Landmarks , Monuments & Statues,
559,Cook Culture,"377 Howe St, Vancouver, British Columbia V6C 3N2 Canada",['Cooking Classes'],4.0,3,,Cooking Classes,,
560,Wet Coast Wools,"2923 4th Ave W, Vancouver, British Columbia V6K 1R3 Canada",['Speciality & Gift Shops'],4.0,3,,Speciality & Gift Shops,,
561,Intralink Transportation & Limousines,"250-997 Seymour St, Vancouver, British Columbia V6B 3M1 Canada",['Taxis & Shuttles'],5.0,2,,Taxis & Shuttles,,
562,Tanglewood Books,"2306 Broadway W, Vancouver, British Columbia V6K 2E5 Canada",['Speciality & Gift Shops'],5.0,1,,Speciality & Gift Shops,,
